date,brand,sales,customers,area_sqm,category,sales_per_customer
2025-01-01,G,55583,244,61,Sports,227.79918032786884
2025-01-02,D,43392,332,148,Fashion,130.6987951807229
2025-01-03,H,12461,418,182,Sports,29.811004784688997
2025-01-04,E,105123,231,130,Food,455.0779220779221
2025-01-05,G,15516,499,299,Sports,31.094188376753507
2025-01-06,J,84285,354,155,Kids,238.09322033898306
2025-01-07,C,22514,193,81,Fashion,116.65284974093264
2025-01-08,G,105962,435,123,Sports,243.59080459770115
2025-01-09,H,41268,365,220,Sports,113.06301369863014
2025-01-10,E,95486,231,130,Food,413.35930735930737
2025-01-11,D,105424,79,118,Fashion,1334.4810126582279
2025-01-12,H,41788,133,94,Sports,314.1954887218045
2025-01-13,H,80749,215,155,Sports,375.57674418604654
2025-01-14,C,66049,333,186,Fashion,198.34534534534535
2025-01-15,F,67493,330,226,Food,204.52424242424243
2025-01-16,E,41027,145,210,Food,282.9448275862069
2025-01-17,B,98547,430,277,Luxury,229.17906976744186
2025-01-18,H,47849,315,149,Sports,151.9015873015873
2025-01-19,F,105127,493,195,Food,213.23935091277892
2025-01-20,B,22858,347,58,Luxury,65.87319884726224
2025-01-21,E,89162,345,111,Food,258.4405797101449
2025-01-22,A,84003,274,234,Luxury,306.58029197080293
2025-01-23,J,57395,382,78,Kids,150.24869109947645
2025-01-24,F,44758,410,174,Food,109.16585365853659
2025-01-25,I,59312,423,163,Living,140.2174940898345
2025-01-26,A,73670,91,255,Luxury,809.5604395604396
2025-01-27,J,87279,352,202,Kids,247.95170454545453
2025-01-28,C,20434,470,192,Fashion,43.47659574468085
2025-01-29,G,69047,295,183,Sports,234.05762711864406
2025-01-30,D,52775,257,169,Fashion,205.3501945525292
2025-01-31,I,80769,286,219,Living,282.40909090909093
2025-02-01,C,119682,71,206,Fashion,1685.661971830986
2025-02-02,E,71677,234,128,Food,306.3119658119658
2025-02-03,C,88555,291,142,Fashion,304.3127147766323
2025-02-04,G,90920,412,53,Sports,220.67961165048544
2025-02-05,E,113439,332,131,Food,341.68373493975906
2025-02-06,I,50734,90,291,Living,563.7111111111111
2025-02-07,G,106665,385,234,Sports,277.05194805194805
2025-02-08,B,93503,211,226,Luxury,443.14218009478674
2025-02-09,D,45603,209,221,Fashion,218.19617224880383
2025-02-10,I,81708,138,280,Living,592.0869565217391
2025-02-11,B,86926,371,257,Luxury,234.30188679245282
2025-02-12,J,73803,61,124,Kids,1209.8852459016393
2025-02-13,I,44332,473,63,Living,93.72515856236787
2025-02-14,J,96703,122,180,Kids,792.6475409836065
2025-02-15,E,26312,125,292,Food,210.496
2025-02-16,B,98376,395,163,Luxury,249.05316455696203
2025-02-17,D,89526,250,111,Fashion,358.104
2025-02-18,G,49179,59,155,Sports,833.542372881356
2025-02-19,H,76442,401,113,Sports,190.6284289276808
2025-02-20,C,119332,275,151,Fashion,433.93454545454546
2025-02-21,A,45379,225,222,Luxury,201.68444444444444
2025-02-22,D,22297,325,155,Fashion,68.60615384615384
2025-02-23,B,7011,88,259,Luxury,79.67045454545455
2025-02-24,H,49014,109,235,Sports,449.6697247706422
2025-02-25,D,117094,115,69,Fashion,1018.2086956521739
2025-02-26,B,16738,370,107,Luxury,45.23783783783784
2025-02-27,F,99333,484,161,Food,205.23347107438016
2025-02-28,F,52498,173,266,Food,303.4566473988439
2025-03-01,J,16120,213,106,Kids,75.68075117370893
2025-03-02,D,13767,457,279,Fashion,30.12472647702407
2025-03-03,F,27852,460,254,Food,60.54782608695652
2025-03-04,B,84239,435,245,Luxury,193.65287356321838
2025-03-05,J,5929,208,168,Kids,28.504807692307693
2025-03-06,B,82487,106,255,Luxury,778.1792452830189
2025-03-07,J,96575,127,146,Kids,760.4330708661417
2025-03-08,D,119149,243,141,Fashion,490.32510288065845
2025-03-09,H,100040,334,101,Sports,299.52095808383234
2025-03-10,G,22438,64,86,Sports,350.59375
2025-03-11,I,53515,61,57,Living,877.2950819672132
2025-03-12,H,10744,150,93,Sports,71.62666666666667
2025-03-13,E,88820,205,147,Food,433.2682926829268
2025-03-14,B,47417,389,285,Luxury,121.89460154241645
2025-03-15,E,110284,174,182,Food,633.816091954023
2025-03-16,H,12069,408,167,Sports,29.580882352941178
2025-03-17,J,47359,329,118,Kids,143.9483282674772
2025-03-18,I,24799,454,208,Living,54.62334801762115
2025-03-19,I,103746,443,94,Living,234.18961625282168
2025-03-20,A,98762,159,186,Luxury,621.1446540880503
2025-03-21,I,75188,383,283,Living,196.31331592689295
2025-03-22,G,94859,406,81,Sports,233.64285714285714
2025-03-23,I,112674,195,82,Living,577.8153846153846
2025-03-24,H,12597,265,175,Sports,47.53584905660377
2025-03-25,A,52093,447,116,Luxury,116.53914988814317
2025-03-26,H,42226,211,79,Sports,200.12322274881515
2025-03-27,H,77127,177,163,Sports,435.7457627118644
2025-03-28,C,119650,363,253,Fashion,329.6143250688705
2025-03-29,A,96369,381,78,Luxury,252.93700787401573
2025-03-30,H,82362,199,180,Sports,413.8793969849246
2025-03-31,C,31417,85,267,Fashion,369.61176470588236
2025-04-01,C,23693,222,234,Fashion,106.72522522522523
2025-04-02,A,84674,469,79,Luxury,180.54157782515992
2025-04-03,E,58161,71,186,Food,819.169014084507
2025-04-04,J,7169,255,203,Kids,28.113725490196078
2025-04-05,G,89092,176,179,Sports,506.20454545454544
2025-04-06,J,27052,385,111,Kids,70.26493506493506
2025-04-07,I,76849,494,52,Living,155.56477732793522
2025-04-08,G,78851,405,223,Sports,194.69382716049384
2025-04-09,I,13036,489,117,Living,26.65848670756646
2025-04-10,H,36778,266,74,Sports,138.26315789473685
2025-04-11,B,32734,145,228,Luxury,225.75172413793103
2025-04-12,A,28173,466,190,Luxury,60.457081545064376
2025-04-13,G,35403,478,280,Sports,74.06485355648536
2025-04-14,G,71321,213,93,Sports,334.84037558685446
2025-04-15,H,76675,197,212,Sports,389.21319796954316
2025-04-16,E,11344,67,104,Food,169.3134328358209
2025-04-17,C,23800,343,264,Fashion,69.38775510204081
2025-04-18,H,30372,244,186,Sports,124.47540983606558
2025-04-19,F,66516,200,179,Food,332.58
2025-04-20,C,25538,414,238,Fashion,61.68599033816425
2025-04-21,A,68918,172,295,Luxury,400.6860465116279
2025-04-22,C,19973,449,90,Fashion,44.483296213808465
2025-04-23,E,76155,236,221,Food,322.6906779661017
2025-04-24,C,105240,198,113,Fashion,531.5151515151515
2025-04-25,A,64500,153,80,Luxury,421.5686274509804
2025-04-26,E,41575,292,285,Food,142.38013698630138
2025-04-27,J,110455,280,96,Kids,394.48214285714283
2025-04-28,G,47261,255,179,Sports,185.3372549019608
2025-04-29,G,115659,247,145,Sports,468.2550607287449
2025-04-30,I,32716,445,259,Living,73.5191011235955
2025-05-01,J,8236,449,126,Kids,18.342984409799556
2025-05-02,J,20848,386,159,Kids,54.01036269430052
2025-05-03,C,7352,136,118,Fashion,54.05882352941177
2025-05-04,G,6932,191,107,Sports,36.29319371727749
2025-05-05,A,81449,366,155,Luxury,222.53825136612022
2025-05-06,D,13556,248,93,Fashion,54.66129032258065
2025-05-07,D,91836,95,123,Fashion,966.6947368421053
2025-05-08,E,10498,337,105,Food,31.1513353115727
2025-05-09,G,81118,64,220,Sports,1267.46875
2025-05-10,G,55098,93,176,Sports,592.4516129032259
2025-05-11,D,69386,450,266,Fashion,154.1911111111111
2025-05-12,G,117169,218,211,Sports,537.4724770642201
2025-05-13,C,14569,359,278,Fashion,40.58217270194986
2025-05-14,F,61882,93,79,Food,665.3978494623656
2025-05-15,B,75393,147,120,Luxury,512.8775510204082
2025-05-16,J,5340,310,247,Kids,17.225806451612904
2025-05-17,I,48949,158,167,Living,309.80379746835445
2025-05-18,E,87302,332,104,Food,262.9578313253012
2025-05-19,F,67443,421,116,Food,160.19714964370547
2025-05-20,D,96668,392,190,Fashion,246.60204081632654
2025-05-21,J,79027,153,52,Kids,516.5163398692811
2025-05-22,G,5138,305,75,Sports,16.845901639344262
2025-05-23,I,5358,428,106,Living,12.518691588785046
2025-05-24,G,80250,255,175,Sports,314.70588235294116
2025-05-25,A,90376,384,201,Luxury,235.35416666666666
2025-05-26,A,104931,92,102,Luxury,1140.554347826087
2025-05-27,I,35654,402,247,Living,88.69154228855722
2025-05-28,I,30879,294,92,Living,105.03061224489795
2025-05-29,D,86532,336,237,Fashion,257.5357142857143
2025-05-30,I,60778,404,235,Living,150.44059405940595
2025-05-31,C,42772,322,98,Fashion,132.83229813664596
2025-06-01,G,63478,132,91,Sports,480.8939393939394
2025-06-02,F,69353,159,253,Food,436.1823899371069
2025-06-03,H,31762,487,290,Sports,65.21971252566735
2025-06-04,I,18283,239,277,Living,76.4979079497908
2025-06-05,E,68922,337,243,Food,204.51632047477744
2025-06-06,A,44420,473,60,Luxury,93.91120507399577
2025-06-07,C,60568,446,152,Fashion,135.80269058295963
2025-06-08,J,90090,300,147,Kids,300.3
2025-06-09,H,25219,261,267,Sports,96.62452107279694
2025-06-10,F,62169,340,195,Food,182.85
2025-06-11,H,105455,182,134,Sports,579.4230769230769
2025-06-12,I,79965,250,149,Living,319.86
2025-06-13,D,51840,334,153,Fashion,155.20958083832335
2025-06-14,A,49695,375,229,Luxury,132.52
2025-06-15,A,110209,458,95,Luxury,240.63100436681222
2025-06-16,J,89754,144,93,Kids,623.2916666666666
2025-06-17,D,82988,327,71,Fashion,253.78593272171253
2025-06-18,G,63342,499,230,Sports,126.937875751503
2025-06-19,B,119516,478,236,Luxury,250.03347280334728
2025-06-20,C,23951,374,271,Fashion,64.04010695187166
2025-06-21,A,6307,268,163,Luxury,23.53358208955224
2025-06-22,E,85388,138,284,Food,618.7536231884058
2025-06-23,A,95768,121,174,Luxury,791.4710743801653
2025-06-24,H,40428,296,173,Sports,136.5810810810811
2025-06-25,A,113707,178,79,Luxury,638.8033707865169
2025-06-26,A,97021,261,57,Luxury,371.72796934865903
2025-06-27,B,80774,477,147,Luxury,169.33752620545073
2025-06-28,B,43975,392,106,Luxury,112.1811224489796
2025-06-29,F,6140,145,160,Food,42.3448275862069
2025-06-30,G,29842,124,122,Sports,240.66129032258064
2025-07-01,E,31421,472,164,Food,66.56991525423729
2025-07-02,A,6708,103,69,Luxury,65.12621359223301
2025-07-03,A,8630,393,281,Luxury,21.959287531806616
2025-07-04,C,24595,462,74,Fashion,53.23593073593074
2025-07-05,B,81021,103,68,Luxury,786.6116504854369
2025-07-06,E,33308,267,54,Food,124.74906367041199
2025-07-07,J,49789,65,124,Kids,765.9846153846154
2025-07-08,F,60690,148,256,Food,410.06756756756755
2025-07-09,G,31086,69,177,Sports,450.5217391304348
2025-07-10,D,21859,95,121,Fashion,230.09473684210528
2025-07-11,G,12684,242,260,Sports,52.413223140495866
2025-07-12,H,96088,432,264,Sports,222.42592592592592
2025-07-13,A,6207,107,204,Luxury,58.00934579439252
2025-07-14,F,51099,486,89,Food,105.14197530864197
2025-07-15,H,72496,160,273,Sports,453.1
2025-07-16,E,71093,178,75,Food,399.3988764044944
2025-07-17,D,34689,386,76,Fashion,89.8678756476684
2025-07-18,B,53651,243,239,Luxury,220.78600823045267
2025-07-19,F,18893,462,132,Food,40.89393939393939
2025-07-20,F,102808,389,177,Food,264.2879177377892
2025-07-21,A,71418,375,227,Luxury,190.448
2025-07-22,I,108065,57,219,Living,1895.877192982456
2025-07-23,F,65011,78,206,Food,833.474358974359
2025-07-24,C,43635,161,216,Fashion,271.0248447204969
2025-07-25,D,61115,484,237,Fashion,126.27066115702479
2025-07-26,D,100071,210,218,Fashion,476.5285714285714
2025-07-27,C,83405,180,82,Fashion,463.3611111111111
2025-07-28,J,77702,237,260,Kids,327.8565400843882
2025-07-29,C,83518,212,278,Fashion,393.95283018867923
2025-07-30,C,111233,246,260,Fashion,452.1666666666667
2025-07-31,D,108651,413,146,Fashion,263.0774818401937
2025-08-01,G,77805,253,160,Sports,307.5296442687747
2025-08-02,D,63954,261,65,Fashion,245.0344827586207
2025-08-03,I,33064,158,72,Living,209.26582278481013
2025-08-04,A,84063,325,184,Luxury,258.6553846153846
2025-08-05,H,7454,122,75,Sports,61.09836065573771
2025-08-06,G,25878,216,145,Sports,119.80555555555556
2025-08-07,B,56098,309,61,Luxury,181.54692556634305
2025-08-08,H,67154,292,121,Sports,229.9794520547945
2025-08-09,A,17991,324,182,Luxury,55.52777777777778
2025-08-10,I,73344,151,155,Living,485.72185430463577
2025-08-11,I,109946,222,269,Living,495.2522522522523
2025-08-12,B,41593,220,166,Luxury,189.0590909090909
2025-08-13,G,41304,190,246,Sports,217.38947368421051
2025-08-14,J,35386,446,226,Kids,79.34080717488789
2025-08-15,C,60220,237,75,Fashion,254.0928270042194
2025-08-16,G,118613,490,182,Sports,242.0673469387755
2025-08-17,J,74338,135,71,Kids,550.6518518518518
2025-08-18,I,99289,101,256,Living,983.059405940594
2025-08-19,D,26083,160,62,Fashion,163.01875
2025-08-20,A,23354,486,205,Luxury,48.053497942386834
2025-08-21,B,27190,414,210,Luxury,65.67632850241546
2025-08-22,A,11142,391,156,Luxury,28.49616368286445
2025-08-23,E,33398,92,72,Food,363.0217391304348
2025-08-24,E,56971,260,146,Food,219.11923076923077
2025-08-25,G,46862,249,284,Sports,188.2008032128514
2025-08-26,I,103668,347,67,Living,298.7550432276657
2025-08-27,I,58410,395,291,Living,147.873417721519
2025-08-28,C,24503,289,166,Fashion,84.78546712802768
2025-08-29,C,53456,164,79,Fashion,325.9512195121951
2025-08-30,C,105167,75,75,Fashion,1402.2266666666667
2025-08-31,D,87035,456,193,Fashion,190.86622807017545
2025-09-01,H,110388,348,254,Sports,317.2068965517241
2025-09-02,F,13016,126,88,Food,103.3015873015873
2025-09-03,H,7384,461,210,Sports,16.017353579175705
2025-09-04,A,67320,186,203,Luxury,361.93548387096774
2025-09-05,H,20072,69,225,Sports,290.8985507246377
2025-09-06,D,107239,489,242,Fashion,219.30265848670757
2025-09-07,A,116431,260,290,Luxury,447.8115384615385
2025-09-08,H,85018,289,215,Sports,294.1799307958477
2025-09-09,D,45510,88,179,Fashion,517.1590909090909
2025-09-10,F,53933,484,162,Food,111.43181818181819
2025-09-11,H,26826,317,183,Sports,84.62460567823344
2025-09-12,D,73026,256,95,Fashion,285.2578125
2025-09-13,C,116628,488,99,Fashion,238.99180327868854
2025-09-14,I,30518,316,215,Living,96.57594936708861
2025-09-15,C,29045,203,155,Fashion,143.07881773399015
2025-09-16,I,55876,91,265,Living,614.021978021978
2025-09-17,B,97446,460,195,Luxury,211.83913043478262
2025-09-18,B,95102,60,204,Luxury,1585.0333333333333
2025-09-19,B,56919,343,218,Luxury,165.94460641399417
2025-09-20,F,104441,147,121,Food,710.4829931972789
2025-09-21,C,32103,476,269,Fashion,67.44327731092437
2025-09-22,I,41188,324,123,Living,127.12345679012346
2025-09-23,D,10845,497,66,Fashion,21.82092555331992
2025-09-24,A,91698,439,296,Luxury,208.87927107061503
2025-09-25,D,41674,479,239,Fashion,87.00208768267224
2025-09-26,A,24337,421,206,Luxury,57.80760095011876
2025-09-27,E,27313,279,235,Food,97.89605734767025
